                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.0564,                 7.5794,                      0,                0.90495,                 1.2709,                0.34354,                0.54545,                0.40333,                 0.1852,                0.06567,                0.09091,                0.01034,                0.00103,                 2.3816,                 8.6911,                      0,                 1.9451,                 2.5581,              0.0018535,              0.0018535,              0.0018535
                     40,                0.99634,                 7.6202,                      0,                0.83604,                 1.2119,                0.46083,                0.70046,                 0.4423,                0.14018,                      0,                      0,                      0,                      0,                 2.5358,                 9.0591,                      0,                 1.8112,                 2.5816,              0.0018495,              0.0018495,              0.0018495
                     41,                0.92166,                 7.6726,                      0,                0.75346,                 1.1683,                0.46083,                0.70046,                 0.4423,                0.14018,                      0,                      0,                      0,                      0,                 2.5358,                 9.0591,                      0,                 1.8112,                 2.5816,              0.0018456,              0.0018456,              0.0018456
                     42,                0.94441,                 7.2432,                      0,                0.87375,                  1.162,                0.29097,                0.45455,                0.23256,                0.06932,                      0,                      0,                      0,                      0,                 2.8138,                 9.0269,                      0,                 2.1503,                 2.8295,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.0345,                 7.5345,                      0,                0.94638,                 1.2125,                0.49837,                0.63636,                0.50324,                0.22179,                      0,                      0,                      0,                      0,                 2.3941,                 9.0021,                      0,                 2.3157,                   2.67,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.0491,                 7.3535,                      0,                0.89113,                 1.1896,                0.46922,                0.54545,                0.36311,                 0.1343,                      0,                      0,                      0,                      0,                 2.7993,                  8.943,                      0,                 1.7796,                  3.037,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.1257,                 7.9356,                      0,                 1.0119,                 1.3353,                0.46922,                0.54545,                0.36311,                 0.1343,                      0,                      0,                      0,                      0,                 2.7993,                  8.943,                      0,                 1.7796,                  3.037,              0.0018297,              0.0018297,              0.0018297
                     46,                0.96919,                 7.8889,                      0,                 1.0232,                 1.2062,                0.31627,                0.54545,                0.29801,                0.08061,                      0,                      0,                      0,                      0,                 2.5971,                 8.7572,                      0,                 1.8216,                 2.7517,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.0379,                 7.6443,                      0,                 1.0292,                 1.2296,                0.32082,                0.36364,                0.24178,                0.13256,                      0,                      0,                      0,                      0,                 1.9409,                  9.334,                      0,                 2.0311,                 1.9523,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.0746,                 8.4639,                      0,                 1.0118,                 1.2513,                0.30171,                0.70762,                0.36162,                0.17352,                      0,                      0,                      0,                      0,                 1.8772,                 9.3773,                      0,                 2.7519,                 1.9485,              0.0018178,              0.0018178,              0.0018178
                     49,                  1.117,                 7.8435,                      0,                 1.0389,                 1.3116,                0.30171,                0.70762,                0.36162,                0.17352,                      0,                      0,                      0,                      0,                 1.8772,                 9.3773,                      0,                 2.7519,                 1.9485,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.1118,                 7.9002,                      0,                 1.1514,                 1.3502,                0.40829,                0.45455,                0.32487,                0.12918,                      0,                      0,                      0,                      0,                  2.686,                 9.9994,                      0,                 4.8822,                 3.0203,              0.0018099,              0.0018099,              0.0018099
                     51,                0.94613,                 8.5224,                      0,                 1.0548,                 1.1979,                0.51672,                0.36364,                0.36084,                0.16166,                      0,                      0,                      0,                      0,                 2.6807,                 9.8007,                      0,                  6.287,                 3.2647,               0.001806,               0.001806,               0.001806
                     52,                 1.0282,                 7.1317,                      0,                0.95373,                 1.2654,                0.37237,                0.45455,                 0.3976,                 0.1844,                      0,                      0,                      0,                      0,                  1.961,                 9.5709,                      0,                  7.711,                 2.2271,               0.001802,               0.001802,               0.001802
                     53,                0.96058,                 8.3155,                      0,                0.91997,                 1.1593,                0.37237,                0.45455,                 0.3976,                 0.1844,                      0,                      0,                      0,                      0,                  1.961,                 9.5709,                      0,                  7.711,                 2.2271,               0.001798,               0.001798,               0.001798
                     54,                0.99851,                 7.7581,                      0,                 1.0036,                 1.2353,                0.27757,                0.45455,                0.26898,                0.13824,                      0,                      0,                      0,                      0,                 1.6599,                 9.4344,                      0,                 6.1599,                  1.919,              0.0017941,              0.0017941,              0.0017941
