                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.2036,                 4.3178,                0.36389,                 1.1441,                  1.322,                0.78514,                0.67225,                0.76232,                 0.4768,                0.67574,                  0.473,                0.46792,                0.17286,                 1.3067,                 4.5645,                0.38756,                 1.2024,                 1.4021,              0.0012575,              0.0012575,              0.0012575
                     33,                 1.1918,                 4.1998,                0.36089,                 1.1171,                 1.3133,                0.78223,                0.67784,                 0.7759,                0.48761,                0.70679,                0.48231,                0.49647,                0.17916,                 1.2942,                 4.3986,                0.38523,                 1.1256,                 1.3769,              0.0012328,              0.0012328,              0.0012328
                     34,                 1.1844,                 4.2325,                0.36322,                 1.0917,                  1.295,                0.79945,                0.64584,                0.77089,                0.49293,                0.72797,                0.47858,                0.51434,                 0.1971,                 1.2942,                  4.305,                0.38172,                 1.1633,                 1.3915,               0.001208,               0.001208,               0.001208
                     35,                 1.1553,                 4.1721,                0.35501,                 1.0836,                 1.2896,                0.80154,                0.67225,                0.78615,                0.51156,                0.68663,                0.49721,                0.50356,                0.19632,                 1.2705,                 4.3899,                0.39987,                 1.0988,                 1.3797,              0.0011833,              0.0011833,              0.0011833
                     36,                 1.1354,                  4.145,                0.35967,                  1.068,                 1.2784,                0.82676,                0.66651,                0.79182,                0.51085,                0.71949,                0.48242,                0.50323,                0.19547,                 1.2998,                 4.2537,                0.37598,                 1.1036,                  1.403,              0.0011585,              0.0011585,              0.0011585
                     37,                 1.1498,                 4.0575,                 0.3536,                  1.063,                 1.2836,                0.79602,                0.65177,                0.76847,                0.49536,                0.71099,                0.51767,                0.52277,                0.18356,                 1.3217,                 4.3588,                0.39263,                 1.1357,                 1.4253,              0.0011337,              0.0011337,              0.0011337
                     38,                 1.1505,                 4.1809,                0.35594,                 1.0581,                 1.2767,                0.80309,                0.64991,                0.77035,                0.50019,                0.73393,                0.49907,                 0.5107,                0.18558,                 1.3253,                 4.3438,                0.40359,                 1.1329,                 1.4145,               0.001109,               0.001109,               0.001109
                     39,                  1.159,                 3.9804,                0.34603,                 1.0488,                  1.296,                0.75018,                0.72067,                0.78784,                0.50485,                0.74571,                0.49693,                0.53267,                0.20662,                 1.2713,                 4.2372,                 0.3806,                 1.0728,                 1.3841,              0.0010842,              0.0010842,              0.0010842
                     40,                 1.1386,                 3.9799,                0.34835,                 1.0254,                 1.2793,                0.75613,                0.69832,                0.78449,                0.50767,                0.72127,                 0.4867,                0.51429,                0.20918,                 1.2798,                  4.179,                0.37623,                 1.0644,                 1.3728,              0.0010595,              0.0010595,              0.0010595
                     41,                 1.1197,                 3.8984,                0.33404,                 1.0182,                  1.263,                0.75627,                0.72805,                0.78927,                0.52005,                0.72577,                0.49534,                0.51386,                0.19577,                 1.2829,                 4.3132,                0.40187,                 1.0905,                 1.3858,              0.0010347,              0.0010347,              0.0010347
                     42,                 1.1106,                 3.9435,                0.35525,                 1.0149,                 1.2698,                0.79383,                0.70268,                0.79329,                0.51522,                0.66852,                0.52203,                0.51888,                0.21187,                 1.2612,                 4.1318,                0.37549,                 1.0718,                  1.386,                0.00101,                0.00101,                0.00101
                     43,                 1.1245,                 3.8275,                0.34693,                 1.0026,                 1.2613,                0.76522,                0.71014,                0.78692,                0.52127,                0.70876,                0.52514,                0.52524,                0.21144,                 1.2581,                 4.1078,                0.36805,                 1.0817,                 1.3684,             0.00098525,             0.00098525,             0.00098525
